iter_id,date,model,change_description,hypothesis,recall_train,recall_val,precision_val,recall_delta,generalization_gap,benchmark_set_used,benchmark_recall,accepted,kill_switch_verdict,notes
iter_001,5/2/2026,logistic_regression,baseline — 8 features,pipeline validation — simplest possible model with historical rates and calendar features,0.633,0.5688,0.0521,-,0.0642,,,Y,continue,fatal recall 0.508 barely above floor — priority for iter_002
iter_002,5/2/2026,logistic_regression,threshold adjustment 0.50 to 0.52,lower flag rate while maintaining fatal recall,0.5973,0.5378,0.0551,-0.031,0.0595,,,N,continue,REJECTED — fatal recall dropped to 0.456 below 0.50 floor. Threshold cannot fix signal problem.
iter_003,5/2/2026,logistic_regression,add segment_impairment_ratio,impairment is 4.5x overrepresented in fatals — segment-level ratio should improve fatal discrimination,0.633,0.5669,0.0521,-0.0019,0.0642,,,N,continue,REJECTED Gate 3 — gain -0.0019. Feature is collinear with existing rate features. Segment-level aggregate of crash-level attribute adds no incremental signal.
iter_003a,5/2/2026,logistic_regression,add segment_impairment_ratio,impairment 4.5x overrepresented in fatals,0.633,0.5669,0.0521,-0.0019,0.0642,,,N,continue,REJECTED Gate 3 — collinear with existing rates
iter_003b,5/2/2026,logistic_regression,add segment_crash_trend,temporal trend orthogonal to rate levels,0.633,-,-,-,-,,,N,continue,REJECTED Gate 2 — 70% zeros insufficient signal
iter_003c,5/2/2026,logistic_regression,add road_group_risk,structural road type risk score,0.633,0.5703,0.0521,0.0015,0.0642,,,N,continue,REJECTED Gate 3 — gain 0.0015 below 0.005 threshold
iter_004,5/3/2026,random_forest,model advancement LogReg->RF — 200 trees max_depth=10,RF can capture non-linear interactions LogReg cannot,0.8023,0.6909,0.0424,0.1221,0.1114,,,Y-conditional,continue,ACCEPTED conditionally — fatal recall 0.576 (+0.068) but flag rate 0.474 and precision 0.042 violate constraints. Hyperparameter tuning required next.
iter_005,5/3/2026,random_forest,max_depth 10->6,shallower trees should reduce overfitting and flag rate,0.8017,0.6962,0.0418,0.0053,0.1055,,,N,continue,REJECTED — depth not the cause of over-flagging. Flag rate increased. Problem is class_weight=balanced on 1:71 imbalance.
iter_006,5/3/2026,random_forest,class_weight balanced->custom {0:1 1:10},balanced (71x) causes over-flagging — reduce to 10x should lower flag rate while preserving recall,0.2473,0.2494,0.1385,-0.3194,-0.0021,,,N,continue,REJECTED — 10x too conservative. Fatal recall collapsed to 0.102. Sweet spot is between 10x and 71x.
iter_007,5/3/2026,random_forest,class_weight sweep 20x-50x,find weight satisfying all constraints,0.8017,best 0.6107 at 50x,0.0482,-,-,,,N,continue,REJECTED — no feasible weight exists. All tested violate fatal recall floor OR flag rate max. RF cannot match LogReg on these features.
iter_008,5/3/2026,lightgbm,model advancement RF->LightGBM is_unbalance=True,gradient boosting handles imbalance differently than RF bagging,0.7968,0.6861,0.0426,-,0.1107,,,N,continue,REJECTED — same over-flagging as RF. 3 constraints violated. LogReg iter_001 confirmed as best model.
